layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.1.intermediate.dense.weight,ffn,1,3072,768,768,643.483,0.8379,15.1084,0.0197,131.4671,0.1712,4.982481,1.28185,403,0.5247,517,0.6732,683,0.8893,0.9469,0.927525,0.894887,0.84233,0.759431
bert.encoder.layer.1.output.dense.weight,ffn,1,768,3072,768,655.9327,0.8541,27.2919,0.0355,200.7944,0.2615,4.647311,0.889579,429,0.5586,544,0.7083,699,0.9102,0.958286,0.935742,0.900857,0.846302,0.765591
bert.encoder.layer.2.attention.self.query.weight,attention,2,768,768,768,459.1454,0.5978,20.5656,0.0268,92.9457,0.121,2.457579,0.541922,209,0.2721,290,0.3776,455,0.5924,0.931537,0.889743,0.82424,0.728423,0.603765
bert.encoder.layer.2.attention.self.key.weight,attention,2,768,768,768,468.901,0.6105,20.0239,0.0261,92.2902,0.1202,2.433779,0.543885,219,0.2852,302,0.3932,465,0.6055,0.927836,0.886508,0.822991,0.73394,0.614036
bert.encoder.layer.2.attention.self.value.weight,attention,2,768,768,768,490.8569,0.6391,34.9394,0.0455,134.2197,0.1748,2.327985,0.393842,239,0.3112,323,0.4206,487,0.6341,0.951896,0.916366,0.863863,0.781356,0.660044
bert.encoder.layer.2.attention.output.dense.weight,attention,2,768,768,768,498.7965,0.6495,38.0893,0.0496,144.9696,0.1888,2.343668,0.379747,249,0.3242,333,0.4336,494,0.6432,0.956645,0.924611,0.872082,0.789803,0.669523
bert.encoder.layer.2.intermediate.dense.weight,ffn,2,3072,768,768,640.6366,0.8342,14.6401,0.0191,124.8574,0.1626,5.049175,1.319617,398,0.5182,515,0.6706,683,0.8893,0.944968,0.924399,0.890438,0.836257,0.752591
bert.encoder.layer.2.output.dense.weight,ffn,2,768,3072,768,653.6827,0.8511,27.0809,0.0353,194.8802,0.2538,4.756574,0.914034,425,0.5534,541,0.7044,698,0.9089,0.956948,0.93381,0.897352,0.842057,0.760995
bert.encoder.layer.3.attention.self.query.weight,attention,3,768,768,768,461.6331,0.6011,19.0716,0.0248,91.9646,0.1197,2.498134,0.572034,209,0.2721,292,0.3802,460,0.599,0.932585,0.889844,0.822412,0.72798,0.602706
bert.encoder.layer.3.attention.self.key.weight,attention,3,768,768,768,478.5386,0.6231,22.0825,0.0288,102.5595,0.1335,2.489654,0.529803,227,0.2956,311,0.4049,477,0.6211,0.935398,0.89655,0.835923,0.748023,0.62636
bert.encoder.layer.3.attention.self.value.weight,attention,3,768,768,768,491.7361,0.6403,28.2672,0.0368,125.5748,0.1635,2.286232,0.43001,240,0.3125,325,0.4232,488,0.6354,0.947555,0.912115,0.856434,0.772815,0.653132
bert.encoder.layer.3.attention.output.dense.weight,attention,3,768,768,768,499.9335,0.651,39.8047,0.0518,141.9592,0.1848,2.351472,0.372711,249,0.3242,334,0.4349,497,0.6471,0.955097,0.921031,0.868541,0.787032,0.667689
bert.encoder.layer.3.intermediate.dense.weight,ffn,3,3072,768,768,642.998,0.8372,14.4462,0.0188,122.2188,0.1591,5.050922,1.328906,404,0.526,520,0.6771,686,0.8932,0.942819,0.922469,0.88803,0.833634,0.750575
bert.encoder.layer.3.output.dense.weight,ffn,3,768,3072,768,650.9763,0.8476,27.9325,0.0364,186.9082,0.2434,4.740062,0.896869,422,0.5495,539,0.7018,697,0.9076,0.954663,0.929887,0.891903,0.83529,0.752877
bert.encoder.layer.4.attention.self.query.weight,attention,4,768,768,768,459.75,0.5986,20.8555,0.0272,89.2288,0.1162,2.486603,0.544498,207,0.2695,291,0.3789,459,0.5977,0.930785,0.88375,0.813845,0.719012,0.595085
bert.encoder.layer.4.attention.self.key.weight,attention,4,768,768,768,471.4483,0.6139,20.3551,0.0265,95.9229,0.1249,2.492814,0.552527,219,0.2852,304,0.3958,470,0.612,0.933423,0.892063,0.825753,0.733705,0.614017
bert.encoder.layer.4.attention.self.value.weight,attention,4,768,768,768,495.6016,0.6453,23.3711,0.0304,124.6913,0.1624,2.330148,0.481997,244,0.3177,329,0.4284,493,0.6419,0.947109,0.913987,0.860896,0.778298,0.65916
bert.encoder.layer.4.attention.output.dense.weight,attention,4,768,768,768,506.2414,0.6592,38.0852,0.0496,147.3933,0.1919,2.386573,0.38672,256,0.3333,342,0.4453,502,0.6536,0.956705,0.925207,0.872122,0.791642,0.675367
bert.encoder.layer.4.intermediate.dense.weight,ffn,4,3072,768,768,640.5838,0.8341,13.7638,0.0179,113.5588,0.1479,5.11894,1.379784,401,0.5221,518,0.6745,686,0.8932,0.940275,0.917584,0.881719,0.825612,0.742547
bert.encoder.layer.4.output.dense.weight,ffn,4,768,3072,768,646.2748,0.8415,24.1382,0.0314,162.7392,0.2119,4.732738,0.963296,414,0.5391,532,0.6927,694,0.9036,0.947171,0.922301,0.88385,0.826478,0.743397
bert.encoder.layer.5.attention.self.query.weight,attention,5,768,768,768,462.5914,0.6023,22.2994,0.029,92.4093,0.1203,2.560219,0.542163,210,0.2734,293,0.3815,462,0.6016,0.930285,0.887031,0.819388,0.725151,0.599247
bert.encoder.layer.5.attention.self.key.weight,attention,5,768,768,768,472.1534,0.6148,26.1367,0.034,106.57,0.1388,2.566151,0.501946,220,0.2865,304,0.3958,470,0.612,0.942785,0.901102,0.835116,0.739309,0.616774
bert.encoder.layer.5.attention.self.value.weight,attention,5,768,768,768,496.9709,0.6471,25.4795,0.0332,126.4586,0.1647,2.466895,0.488715,245,0.319,331,0.431,495,0.6445,0.946828,0.913836,0.860043,0.778096,0.659312
bert.encoder.layer.5.attention.output.dense.weight,attention,5,768,768,768,507.4251,0.6607,37.0158,0.0482,147.5668,0.1921,2.469131,0.405836,257,0.3346,343,0.4466,503,0.6549,0.956191,0.92459,0.872578,0.793232,0.677095
bert.encoder.layer.5.intermediate.dense.weight,ffn,5,3072,768,768,640.6266,0.8341,14.6667,0.0191,119.6512,0.1558,5.182305,1.353184,403,0.5247,520,0.6771,687,0.8945,0.941219,0.917181,0.87952,0.823078,0.739553
bert.encoder.layer.5.output.dense.weight,ffn,5,768,3072,768,636.7318,0.8291,23.3056,0.0303,143.9972,0.1875,4.767686,0.987591,400,0.5208,520,0.6771,690,0.8984,0.942901,0.913597,0.872585,0.811218,0.724435
bert.encoder.layer.6.attention.self.query.weight,attention,6,768,768,768,465.1845,0.6057,22.3181,0.0291,95.9221,0.1249,2.629945,0.556696,213,0.2773,296,0.3854,464,0.6042,0.933397,0.890444,0.824196,0.730822,0.606145
bert.encoder.layer.6.attention.self.key.weight,attention,6,768,768,768,472.2191,0.6149,24.9463,0.0325,100.7921,0.1312,2.625162,0.525597,220,0.2865,305,0.3971,472,0.6146,0.936976,0.892913,0.829204,0.736663,0.613072
bert.encoder.layer.6.attention.self.value.weight,attention,6,768,768,768,497.0732,0.6472,24.4512,0.0318,120.8582,0.1574,2.456,0.496682,245,0.319,332,0.4323,496,0.6458,0.944822,0.910174,0.853805,0.769569,0.652184
bert.encoder.layer.6.attention.output.dense.weight,attention,6,768,768,768,496.8192,0.6469,35.1287,0.0457,129.7125,0.1689,2.497883,0.421445,245,0.319,331,0.431,496,0.6458,0.950883,0.914077,0.856228,0.771849,0.65414
bert.encoder.layer.6.intermediate.dense.weight,ffn,6,3072,768,768,638.3621,0.8312,14.1798,0.0185,114.0077,0.1484,5.241853,1.392036,399,0.5195,518,0.6745,687,0.8945,0.939563,0.914905,0.876104,0.818117,0.733393
bert.encoder.layer.6.output.dense.weight,ffn,6,768,3072,768,619.3851,0.8065,21.9877,0.0286,124.2221,0.1617,4.707118,1.003843,372,0.4844,497,0.6471,680,0.8854,0.937772,0.903698,0.85602,0.785681,0.692957
